,word,count
407,mcdouble,1
408,deal,1
409,initial,4
410,stuck,1
411,overhead,2
412,unpretentious,3
413,wat,1
414,happy,52
415,questionable,4
416,amateur,1
417,abysmal,1
418,paypal,1
419,heat,4
420,hear,1
421,macy‚,1
422,pizza,1
423,true,22
424,sandwichthere,1
425,tengan,1
426,vive,1
427,inside,6
428,kitschy,1
429,taque√,1
430,emotional,2
431,glitchy,1
432,hotter,1
433,scicilian,1
434,classic,47
435,peruvian,7
436,sinful,3
437,sticky,4
438,jaspy,1
439,notquitesohealthy,1
440,mediocre,21
441,43rd,2
442,physical,1
443,marinated,1
444,tip,1
445,ny,1
446,republic,1
447,ambitious,1
448,digital,2
449,59th,1
450,welcome,1
451,polite,8
452,diet,1
453,belive,1
454,variable,1
455,napole√≥n,1
456,congested,24
457,dayearly,1
458,daily,27
459,seitan,3
460,serious,20
461,crazyyy,3
462,bfast,2
463,blackandwhite,4
464,global,1
465,steak,1
466,deliiiish,1
467,grateful,1
468,llc,1
469,21st,4
470,yummy,49
471,freeish,1
472,yummm,1
473,veg,1
474,unpleasant,2
475,couscous,1
476,here‚,1
477,375bowlgreat,1
478,jappychic,1
479,antisemetic,1
480,electric‚,1
481,vegan,9
482,sloppy,4
483,wenny,1
484,trouble,2
485,blast,4
486,cool,31
487,dim,4
488,impressive,7
489,12th,1
490,speciali,1
491,senegal,2
492,inauspicious,1
493,settle,1
494,quick,84
495,guy,1
496,yall,1
497,upper,10
498,olympic,1
499,unexpected,3
500,regret,1
501,attic,1
502,dried,2
503,cosy,1
504,posh,1
505,fillet,1
506,current,8
507,international,3
508,ridic,1
509,mah√,1
510,funeral,4
511,french,27
512,goldfish,1
513,canadian,2
514,healthy,48
515,guilty,1
516,marble,4
517,priceless,36
518,weird,15
519,bearable,1
520,love,10
521,extra,59
522,problematic,1
523,ethiopian,3
524,bloody,1
525,marvelous,2
526,coleslawsized,1
527,stingy,1
528,trinidad,1
529,betsy,1
530,perf,1
531,positive,1
532,dukin,1
533,creamy,5
534,live,37
535,frothy,2
536,msg,1
537,australian,2
538,168th,1
539,vous,1
540,drinkable,2
541,hig√ºeral,1
542,acceptable,3
