,word,count
1671,permanent,1
1672,seasoned,1
1673,waste,5
1674,carbconscious,1
1675,sevenlong,1
1676,manchurian,1
1677,crappy,2
1678,crispyfantastic,1
1679,caprese,1
1680,brunch,1
1681,fellow,2
1682,vvvvveeeeerrrryyyy,1
1683,present,2
1684,lebanese,1
1685,theyve,3
1686,homey,1
1687,pretentious,4
1688,wunderwurst,1
1689,wild,1
1690,dad,1
1691,mejor,7
1692,chaotic,6
1693,squid,2
1694,site,2
1695,gothic,4
1696,arabic,3
1697,generic,3
1698,eric,2
1699,eclectic,5
1700,party,1
1701,oldschoolmad,1
1702,incorrect,1
1703,unconventional,1
1704,dkcentraal,1
1705,beast,2
1706,orbasƒ,1
1707,dust,1
1708,magician,1
1709,mosaic,1
1710,off,2
1711,english,22
1712,weeklive,1
1713,caramelized,3
1714,usual,23
1715,spherical,1
1716,vitalicious,1
1717,greatjust,1
1718,accurate,6
1719,domestic,1
1720,tough,5
1721,paul,1
1722,generous,23
1723,rapid,1
1724,superthin,1
1725,residential,1
1726,theeeeeeeeeeeeee,1
1727,drive,43
1728,sky,1
1729,nacional,1
1730,cakey,1
1731,add,3
1732,other,175
1733,attractive,1
1734,sonic,1
1735,definitive,1
1736,ample,2
1737,crushed,4
1738,historic,3
1739,milanese,1
1740,facial,1
1741,passable,2
1742,dondurmamdashstretchy,1
1743,debatable,1
1744,necessary,4
1745,helpful,28
1746,garlicky,3
1747,awesomely,4
1748,sized,25
1749,soft,35
1750,sourdough,1
1751,italian,107
1752,shmear,1
1753,rachel‚,1
1754,retractable,1
1755,classical,1
1756,metronorth,1
1757,hail,1
1758,unfunny,1
1759,avoid,9
1760,lean,1
1761,delightful,7
1762,14th,1
1763,wong,1
1764,bang,1
1765,economical,2
1766,truffle,5
1767,birthday,1
1768,journal,1
1769,stellar,12
1770,worthy,3
1771,fluorescent,1
1772,noisy,8
1773,actual,13
1774,albanian,1
1775,flaky,5
1776,perky,1
1777,seedy,1
1778,cupcakephenomenal,1
1779,agradable,1
1780,own,54
1781,argumentative,1
1782,ajillo,1
1783,chronic,1
1784,doesnt,3
1785,lung,1
1786,female,5
1787,decentvery,1
1788,stumptown,1
1789,mere,5
1790,wack,2
1791,van,2
1792,additional,6
1793,elastic,6
1794,noxious,1
1795,splintered,1
1796,pi√,1
1797,caviar,1
1798,recommendable,1
1799,dynamite,1
1800,buy,1
1801,north,7
1802,bosnian,1
1803,basic,12
1804,liquor,1
1805,eat,46
1806,versatile,2
1807,wfarmtotable,1
1808,wish,7
1809,beleilve,1
1810,official,2
1811,smooth,3
1812,persian,4
1813,ehrim,4
1814,monastic,1
1815,cordial,1
1816,irish,20
1817,doesn‚,1
1818,horrific,1
1819,pic,66
1820,meaningless,1
1821,they‚,2
1822,goodness,1
1823,girl,1
1824,incredible,44
1825,veeeery,1
1826,cashew,1
1827,firstrate,1
1828,forgivable,2
1829,crummy,1
1830,sick,3
1831,stat,1
1832,repeat,4
1833,shredded,1
1834,preggy,4
1835,baked,12
1836,dismissal,1
1837,8th,3
