Best Suspects,,1340000,2014-4-18
Delhi Safari,HuaXia,1270000,2014-9-5
Gam-si-ja-deul (Cold Eyes),China Film,1230000,2014-9-16
The Noble Spirit,,1060000,2014-6-15
Night Mail,,950000,2014-6-20
Shining Soul,,750000,2014-2-21
Campus Confidential,China Film,750000,2014-4-14
Foosball,HuaXia,570000,2014-9-5
Closed Doors Village,,510000,2014-5-27
The Company You Keep,HuaXia,400000,2014-7-8
Journey to the West: Conquering the Demons,,196740000,2013-2-10
Iron Man 3,China Film,121200000,2013-5-1
Personal Tailor,,115520000,2013-12-19
Zhi wo men zhong jiang shi qu de qing chun (So Young),China Film,114710000,2013-4-25
Pacific Rim,China Film,111940000,2013-7-31
Di Renjie zhi shendu longwang (Young Detective Dee),,96400000,2013-9-28
Zhong Guo He Huo Ren (American Dreams in China),China Film,86450000,2013-5-17
Police Story 2013,Wanda,86340000,2013-12-24
Finding Mr. Right,EDKO,82680000,2013-3-21
Tiny Times,,77600000,2013-6-27
Gravity,China Film,70680000,2013-11-19
Fast & Furious 6,China Film,66490000,2013-7-26
Man of Steel,China Film,63440000,2013-6-20
The Croods,China Film,63310000,2013-4-19
Skyfall,Sony,59234352,2013-1-21
Star Trek Into Darkness,HuaXia,56910000,2013-5-28
Jurassic Park (3D),China Film,55890000,2013-8-20
Thor: The Dark World,HuaXia,55340000,2013-11-8
G.I. Joe: Retaliation,China Film,53840000,2013-4-15
Firestorm (2013),China Film,50770000,2013-12-12
The Hobbit: An Unexpected Journey,China Film,49730000,2013-2-22
Tiny Times 2,,47220000,2013-8-8
Switch (2013),China Film,46820000,2013-6-9
Bu Er Shen Tan (Badges of Fury),,45300000,2013-6-21
Yi dai zong shi (The Grandmaster),China Film,45270000,2013-1-7
"Chu zi Xi zi Pi zi (The Chef, The Actor, The Scoundrel)",,42970000,2013-3-29
No Man's Land (2013),HuaXia,41800000,2013-12-3
Escape Plan,China Film,40930000,2013-11-4
The Wolverine,China Film,40570000,2013-10-17
The White Storm,HuaXia,38500000,2013-11-29
After Earth,China Film,34480000,2013-7-12
Monsters University,HuaXia,33720000,2013-8-23
Blind Detective,China Film,33520000,2013-7-4
A Good Day to Die Hard,China Film,31620000,2013-3-14
Say Yes!,China Film,31260000,2013-2-12
A Wedding Invitation,China Film,30610000,2013-4-12
Silent Witness,,29260000,2013-9-13
White House Down,HuaXia,28470000,2013-7-22
The Four 2 (2013),,28170000,2013-12-6
The Hunger Games: Catching Fire,China Film,27920000,2013-11-21
Cloud Atlas,HuaXia,27710000,2013-1-30
One Night Surprise,China Film,26930000,2013-8-9
Oz The Great and Powerful,China Film,25910000,2013-3-29
Elysium,HuaXia,25690000,2013-9-5
Dak Siu San Fan (Special ID),China Film,25040000,2013-10-18
Bring Happiness Home,,23980000,2013-1-15
Oblivion,China Film,23860000,2013-5-10
The Stolen Years,,23840000,2013-8-29
Du zhan (Drug War),,23180000,2013-4-2
Now You See Me,China Film,22950000,2013-10-10
The Smurfs 2,China Film,22060000,2013-9-12
Hung wun chiu yun (My Lucky Star),,21970000,2013-9-17
Out of Inferno,HuaXia,21140000,2013-9-30
Xi Yang Yang Yu Hui Tai Lang Zhi Xi Qi Yang Yang Guo She Nian,,19570000,2013-1-24
The Rooftop,China Film,18990000,2013-7-11
Ji Zhan (Unbeatable),,18540000,2013-8-16
Turbo,China Film,18140000,2013-9-18
Mr. Go,,17950000,2013-7-18
Resident Evil: Retribution,,17760313,2013-3-17
Jack Reacher,China Film,15090000,2013-2-16
Love Will Tear Us Apart,,13690000,2013-10-12
The Great Gatsby (2013),China Film,13340000,2013-8-30
Bunshinsaba 2,China Film,13140000,2013-7-16
The Lone Ranger,China Film,12940000,2013-10-5
Seer III,,12230000,2013-7-12
Hotel Transylvania,HuaXia,11850000,2013-11-1
I Love Wolffy 2,,11730000,2013-8-1
Upside Down (2012),HuaXia,11600000,2013-3-7
Stalingrad (2013),HuaXia,11520000,2013-10-31
Fake Fiction,China Film,10970000,2013-8-23
Xiao Gong Zhen Wu Lin (Princess And Seven Kung Fu Masters),,10870000,2013-3-8
Roco Kingdom: The Desire of Dragon,,10550000,2013-1-30
Les Miserables (2012),China Film,9900000,2013-2-28
Saving General Yang,China Film,9680000,2013-4-4
Red 2,China Film,8980000,2013-11-15
Hotel Deluxe,,8960000,2013-2-1
Happy Little Submarine 3 - Rainbow Treasure,,8830000,2013-5-31
The Impossible,China Film,8730000,2013-8-29
The Palace,Wanda,8570000,2013-8-13
Jack the Giant Slayer,China Film,8490000,2013-3-25
Colombiana,HuaXia,8050000,2013-6-7
Epic,China Film,8030000,2013-11-29
The Last Stand,China Film,7790000,2013-10-24
Control (2013),,7020000,2013-11-22
Amazing (2013),,6990000,2013-9-30
Stolen (2012),China Film,6900000,2013-3-1
The Adventures of Sinbad,,6060000,2013-5-31
Olympus Has Fallen,China Film,5820000,2013-12-29
Happy Heroes,,5410000,2013-6-28
Tian mi mi (Together),China Film,5120000,2013-2-12
The Fox Lover,,4970000,2013-9-28
Fly Me to the Moon,China Film,4930000,2013-10-25
Love You for Loving Me,,4790000,2013-11-8
Young Style,China Film,4720000,2013-8-2
Dredd,China Film,4470000,2013-3-1
Man of Tai Chi,China Film,4280000,2013-7-5
Better and Better,China Film,4180000,2013-2-10
Midas Touch,,3900000,2013-9-6
Mysterious Face,,3770000,2013-6-14
